field_1,Grano,Año,Mes,Origen,Destino,Cantidad,EsFinal,Cantidades
"282",Maiz,"2018","12",Buenos Aires,Rosario N,"0.02828997",True,
"283",Maiz,"2019","12",Buenos Aires,Rosario N,"0.13397829",True,
"284",Maiz,"2015","1",Buenos Aires,Rosario S,"0.000119",True,
"285",Maiz,"2016","1",Buenos Aires,Rosario S,"0.00132269",True,
"286",Maiz,"2017","1",Buenos Aires,Rosario S,"0.00438997",True,
"287",Maiz,"2018","1",Buenos Aires,Rosario S,"0.038375480000000003",True,
"288",Maiz,"2019","1",Buenos Aires,Rosario S,"0.02292244",True,
"289",Maiz,"2020","1",Buenos Aires,Rosario S,"0.01849",True,
"290",Maiz,"2015","2",Buenos Aires,Rosario S,"0.00304472",True,
"291",Maiz,"2016","2",Buenos Aires,Rosario S,"0.10675935",True,
"292",Maiz,"2017","2",Buenos Aires,Rosario S,"0.005654300000000001",True,
"293",Maiz,"2018","2",Buenos Aires,Rosario S,"0.07240413000000004",True,
"294",Maiz,"2019","2",Buenos Aires,Rosario S,"0.08242930999999999",True,
"295",Maiz,"2020","2",Buenos Aires,Rosario S,"0.03886",True,
"296",Maiz,"2015","3",Buenos Aires,Rosario S,"0.01456279",True,
"297",Maiz,"2016","3",Buenos Aires,Rosario S,"0.09091546",True,
"298",Maiz,"2017","3",Buenos Aires,Rosario S,"0.0436558",True,
"299",Maiz,"2018","3",Buenos Aires,Rosario S,"0.056672459999999994",True,
"300",Maiz,"2019","3",Buenos Aires,Rosario S,"0.09077161999999998",True,
"301",Maiz,"2020","3",Buenos Aires,Rosario S,"0.12222453",True,
"302",Maiz,"2015","4",Buenos Aires,Rosario S,"0.06608283999999999",True,
"303",Maiz,"2016","4",Buenos Aires,Rosario S,"0.14650847000000006",True,
"304",Maiz,"2017","4",Buenos Aires,Rosario S,"0.14940620999999998",True,
"305",Maiz,"2018","4",Buenos Aires,Rosario S,"0.11277604000000002",True,
"306",Maiz,"2019","4",Buenos Aires,Rosario S,"0.16744931000000005",True,
"307",Maiz,"2020","4",Buenos Aires,Rosario S,"0.14449491",True,
"308",Maiz,"2015","5",Buenos Aires,Rosario S,"0.051141690000000004",True,
"309",Maiz,"2016","5",Buenos Aires,Rosario S,"0.11209778999999997",True,
"310",Maiz,"2017","5",Buenos Aires,Rosario S,"0.17956433000000008",True,
"311",Maiz,"2018","5",Buenos Aires,Rosario S,"0.08326426999999997",True,
"312",Maiz,"2019","5",Buenos Aires,Rosario S,"0.20911015",True,
"313",Maiz,"2020","5",Buenos Aires,Rosario S,"0.095012",True,
"314",Maiz,"2022","5",Buenos Aires,Rosario S,"0.0002",True,
"315",Maiz,"2015","6",Buenos Aires,Rosario S,"0.20005003",True,
"316",Maiz,"2016","6",Buenos Aires,Rosario S,"0.07370384",True,
"317",Maiz,"2017","6",Buenos Aires,Rosario S,"0.13782494",True,
"318",Maiz,"2018","6",Buenos Aires,Rosario S,"0.054462240000000016",True,
"319",Maiz,"2019","6",Buenos Aires,Rosario S,"0.19497938",True,
"320",Maiz,"2020","6",Buenos Aires,Rosario S,"0.014192",True,
"321",Maiz,"2015","7",Buenos Aires,Rosario S,"0.0447248",True,
"322",Maiz,"2016","7",Buenos Aires,Rosario S,"0.10145551",True,
"323",Maiz,"2017","7",Buenos Aires,Rosario S,"0.12888556",True,
"324",Maiz,"2018","7",Buenos Aires,Rosario S,"0.09169062",True,
"325",Maiz,"2019","7",Buenos Aires,Rosario S,"0.1283982",True,
"326",Maiz,"2020","7",Buenos Aires,Rosario S,"0.091377",True,
"327",Maiz,"2015","8",Buenos Aires,Rosario S,"0.0197804",True,
"328",Maiz,"2016","8",Buenos Aires,Rosario S,"0.04944640999999998",True,
"329",Maiz,"2017","8",Buenos Aires,Rosario S,"0.04476612",True,
"330",Maiz,"2018","8",Buenos Aires,Rosario S,"0.06486528000000001",True,
"331",Maiz,"2019","8",Buenos Aires,Rosario S,"0.03780344",True,
"332",Maiz,"2020","8",Buenos Aires,Rosario S,"0.03345",True,
"333",Maiz,"2015","9",Buenos Aires,Rosario S,"0.036999330000000004",True,
"334",Maiz,"2016","9",Buenos Aires,Rosario S,"0.06600899999999997",True,
"335",Maiz,"2017","9",Buenos Aires,Rosario S,"0.03861403",True,
"336",Maiz,"2018","9",Buenos Aires,Rosario S,"0.0669391",True,
"337",Maiz,"2019","9",Buenos Aires,Rosario S,"0.02019734",True,
"338",Maiz,"2020","9",Buenos Aires,Rosario S,"0.02",True,
"339",Maiz,"2015","10",Buenos Aires,Rosario S,"0.008285780000000001",True,
"340",Maiz,"2016","10",Buenos Aires,Rosario S,"0.036798449999999996",True,
"341",Maiz,"2017","10",Buenos Aires,Rosario S,"0.03794313000000001",True,
"342",Maiz,"2018","10",Buenos Aires,Rosario S,"0.04562882",True,
"343",Maiz,"2019","10",Buenos Aires,Rosario S,"0.03304312",True,
"344",Maiz,"2015","11",Buenos Aires,Rosario S,"0.034840399999999994",True,
"345",Maiz,"2016","11",Buenos Aires,Rosario S,"0.011920729999999997",True,
"346",Maiz,"2017","11",Buenos Aires,Rosario S,"0.06793063",True,
"347",Maiz,"2018","11",Buenos Aires,Rosario S,"0.05306814000000001",True,
"348",Maiz,"2019","11",Buenos Aires,Rosario S,"0.03346669",True,
"349",Maiz,"2015","12",Buenos Aires,Rosario S,"0.02635545",True,
"350",Maiz,"2016","12",Buenos Aires,Rosario S,"0.01100925",True,
"351",Maiz,"2017","12",Buenos Aires,Rosario S,"0.07007859",True,
"352",Maiz,"2018","12",Buenos Aires,Rosario S,"0.08102288",True,
"353",Maiz,"2019","12",Buenos Aires,Rosario S,"0.08385537",True,
"354",Maiz,"2020","12",Buenos Aires,Rosario S,"0.033",True,
